license,y_true,y_pred_oof
SEEQ-NSJB-NB5L-CBLW,101.0,88.56209
JEEQ-NSJC-EMUK-CBSD,91.0,87.44626
B80277,81.0,94.89919
DKU9-BG7V-LB5T-4XDK,107.0,102.69821
Y9KU-Z7SF-TNPL-ZD2D,97.0,112.67894
9555-VR3B-DFK2-8HLH,88.0,94.420975
Y9KU-Z7SF-TNPL-ZD2D,106.0,105.371
DKU9-BG7V-LB5T-4XDK,113.0,100.17242
DKU9-BG7V-LB5T-4XDK,99.0,96.341965
Y9KU-Z7SF-TNPL-ZD2D,104.0,110.85489
DKU9-BG7V-LB5T-4XDK,99.0,96.39769
9555-VR3B-DFK2-8HLH,109.0,92.86906
9555-VR3B-DFK2-8HLH,94.0,96.31126
9555-VR3B-DFK2-8HLH,84.0,92.68241
DKU9-BG7V-LB5T-4XDK,106.0,98.32826
Y9KU-Z7SF-TNPL-ZD2D,106.0,95.1484
DKU9-BG7V-LB5T-4XDK,108.0,98.71965
Y9KU-Z7SF-TNPL-ZD2D,120.0,107.61149
DKU9-BG7V-LB5T-4XDK,95.0,105.30967
9555-VR3B-DFK2-8HLH,90.0,98.53046
DKU9-BG7V-LB5T-4XDK,91.0,102.50265
Y9KU-Z7SF-TNPL-ZD2D,99.0,104.63364
Y9KU-Z7SF-TNPL-ZD2D,105.0,107.22007
DKU9-BG7V-LB5T-4XDK,108.0,98.57117
9555-VR3B-DFK2-8HLH,93.0,99.92136
9555-VR3B-DFK2-8HLH,99.0,93.730484
DKU9-BG7V-LB5T-4XDK,99.0,101.6707
9555-VR3B-DFK2-8HLH,93.0,94.66847
DKU9-BG7V-LB5T-4XDK,90.0,102.981316
DKU9-BG7V-LB5T-4XDK,108.0,97.43618
9555-VR3B-DFK2-8HLH,83.0,89.76855
DKU9-BG7V-LB5T-4XDK,108.0,100.65424
DKU9-BG7V-LB5T-4XDK,105.0,103.16794
9555-VR3B-DFK2-8HLH,91.0,86.431656
9555-VR3B-DFK2-8HLH,89.0,89.596245
DKU9-BG7V-LB5T-4XDK,100.0,96.212585
9555-VR3B-DFK2-8HLH,82.0,90.2585
DKU9-BG7V-LB5T-4XDK,105.0,97.15872
Y9KU-Z7SF-TNPL-ZD2D,114.0,108.39339
Y9KU-Z7SF-TNPL-ZD2D,107.0,107.07553
DKU9-BG7V-LB5T-4XDK,96.0,102.80925
9555-VR3B-DFK2-8HLH,82.0,93.61302
Y9KU-Z7SF-TNPL-ZD2D,111.0,104.55701
DKU9-BG7V-LB5T-4XDK,106.0,96.89665
NYPA-83DS-38L4-FM4G,91.0,98.04917
9555-VR3B-DFK2-8HLH,85.0,89.28124
NYPA-83DS-38L4-FM4G,89.0,100.86871
DKU9-BG7V-LB5T-4XDK,95.0,102.76619
NYPA-83DS-38L4-FM4G,90.0,97.55475
DKU9-BG7V-LB5T-4XDK,105.0,100.48347
Y9KU-Z7SF-TNPL-ZD2D,109.0,106.90795
NYPA-83DS-38L4-FM4G,85.0,103.09207
NYPA-83DS-38L4-FM4G,94.0,102.871315
9555-VR3B-DFK2-8HLH,93.0,95.818405
Y9KU-Z7SF-TNPL-ZD2D,95.0,113.53348
DKU9-BG7V-LB5T-4XDK,101.0,100.629944
9555-VR3B-DFK2-8HLH,85.0,89.0211
NYPA-83DS-38L4-FM4G,86.0,99.96595
DKU9-BG7V-LB5T-4XDK,110.0,92.950294
Y9KU-Z7SF-TNPL-ZD2D,105.0,113.71861
NYPA-83DS-38L4-FM4G,86.0,101.018265
9555-VR3B-DFK2-8HLH,104.0,95.600075
9555-VR3B-DFK2-8HLH,93.0,90.120605
Y9KU-Z7SF-TNPL-ZD2D,89.0,107.476814
DKU9-BG7V-LB5T-4XDK,106.0,102.4058
Y9KU-Z7SF-TNPL-ZD2D,94.0,100.3386
9555-VR3B-DFK2-8HLH,95.0,96.53221
DKU9-BG7V-LB5T-4XDK,111.0,102.21486
DKU9-BG7V-LB5T-4XDK,105.0,100.45243
DKU9-BG7V-LB5T-4XDK,106.0,96.21121
DKU9-BG7V-LB5T-4XDK,103.0,102.55968
DKU9-BG7V-LB5T-4XDK,107.0,104.31337
Y9KU-Z7SF-TNPL-ZD2D,102.0,106.16745
DKU9-BG7V-LB5T-4XDK,110.0,101.241135
Y9KU-Z7SF-TNPL-ZD2D,113.0,108.03005
Y9KU-Z7SF-TNPL-ZD2D,104.0,104.73427
DKU9-BG7V-LB5T-4XDK,108.0,99.99627
Y9KU-Z7SF-TNPL-ZD2D,102.0,104.08404
DKU9-BG7V-LB5T-4XDK,111.0,105.337456
Y9KU-Z7SF-TNPL-ZD2D,102.0,104.58208
DKU9-BG7V-LB5T-4XDK,104.0,100.92401
Y9KU-Z7SF-TNPL-ZD2D,118.0,104.734436
DKU9-BG7V-LB5T-4XDK,111.0,102.25002
Y9KU-Z7SF-TNPL-ZD2D,103.0,104.05124
DKU9-BG7V-LB5T-4XDK,108.0,104.524536
Y9KU-Z7SF-TNPL-ZD2D,105.0,103.77252
9555-VR3B-DFK2-8HLH,104.0,88.04793
9555-VR3B-DFK2-8HLH,100.0,94.39375
DKU9-BG7V-LB5T-4XDK,109.0,100.441574
2EEE-NSHJ-S7CT-B5A6,100.0,98.962395
DKU9-BG7V-LB5T-4XDK,105.0,101.1419
2EEE-NSHJ-S7CT-B5A6,103.0,86.52657
S3_6,158.0,98.35556
S3_95,127.0,104.77232
S3_181,138.0,116.28173
GDYA4V,131.0,100.8378
ODUKR8,132.0,136.05249
PSBPE0,140.0,110.74676
JEEQ-NSJB-NB5L-CBLU,128.0,112.00516
G9KU-Z7SF-TNPL-ZD2M,130.0,101.40725
